,id,bang,2015,2016,2017,2018,2019,2020
136,12,রাধানগর,0.0,0.0,0.0,1.0,14.0,0.0
137,12,মানিকারচর,0.0,0.0,0.0,0.0,0.0,0.0
138,12,বড়কান্দা,0.0,0.0,0.0,0.0,1.0,0.0
139,12,গোবিন্দপুর,2.0,0.0,0.0,1.0,6.0,0.0
140,12,লুটেরচর,0.0,0.0,0.0,0.0,0.0,0.0
141,12,ভাওরখোলা,0.0,0.0,0.0,0.0,1.0,0.0
142,13,বাইশগাঁও,0.0,0.0,0.0,0.0,2.0,0.0
143,13,সরসপুর,0.0,0.0,0.0,0.0,2.0,0.0
144,13,হাসনাবাদ,0.0,0.0,0.0,0.0,3.0,0.0
145,13,ঝলম (উত্তর),0.0,0.0,0.0,0.0,2.0,0.0
146,13,ঝলম (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
147,13,মৈশাতুয়া,0.0,0.0,0.0,0.0,2.0,0.0
148,13,লক্ষনপুর,0.0,0.0,0.0,0.0,0.0,0.0
149,13,খিলা,0.0,0.0,0.0,1.0,5.0,0.0
150,13,উত্তর হাওলা,0.0,0.0,0.0,0.0,4.0,0.0
151,13,নাথেরপেটুয়া,0.0,0.0,0.0,0.0,2.0,0.0
152,13,বিপুলাসার,0.0,0.0,0.0,0.0,2.0,0.0
153,14,চৌয়ারা,0.0,0.0,0.0,0.0,0.0,0.0
154,14,বারপাড়া,0.0,0.0,0.0,0.0,1.0,0.0
155,14,জোড়কানন (পুর্ব),0.0,0.0,0.0,0.0,0.0,0.0
156,14,গলিয়ারা,0.0,0.0,0.0,0.0,0.0,0.0
157,14,জোড়কানন (পশ্চিম),0.0,0.0,0.0,0.0,0.0,0.0
158,14,বাগমারা (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
159,14,বাগমারা (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
160,14,ভূলইন (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
161,14,ভূলইন (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
162,14,বেলঘর (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
163,14,বেলঘর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
164,14,পেরুল (উত্তর),0.0,0.0,0.0,0.0,1.0,0.0
165,14,পেরুল (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
166,14,বিজয়পুর,0.0,0.0,0.0,0.0,1.0,0.0
167,15,সাতানী,0.0,0.0,0.0,0.0,0.0,0.0
168,15,জগতপুর,0.0,0.0,0.0,0.0,1.0,0.0
169,15,বলরামপুর,0.0,0.0,0.0,1.0,1.0,0.0
170,15,কড়িকান্দি,0.0,0.0,0.0,0.0,1.0,0.0
171,15,কলাকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
172,15,ভিটিকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
173,15,নারান্দিয়া,0.0,0.0,0.0,0.0,1.0,0.0
174,15,জিয়ারকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
175,15,মজিদপুর,0.0,0.0,0.0,0.0,3.0,0.0
176,16,ময়নামতি,0.0,0.0,1.0,0.0,2.0,0.0
177,16,ভারেল্লা,0.0,0.0,0.0,0.0,0.0,0.0
178,16,মোকাম,0.0,0.0,0.0,0.0,3.0,0.0
179,16,বুড়িচং সদর,0.0,0.0,0.0,34.0,2.0,0.0
180,16,বাকশীমূল,0.0,0.0,0.0,0.0,1.0,0.0
181,16,পীরযাত্রাপুর,0.0,0.0,0.0,0.0,0.0,0.0
182,16,ষোলনল,0.0,0.0,0.0,0.0,0.0,0.0
183,16,রাজাপুর,0.0,0.0,0.0,36.0,87.0,0.0
184,17,বাগমারা (উত্তর),0.0,0.0,1.0,0.0,0.0,0.0
185,17,বাগমারা (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
186,17,ভূলইন (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
187,17,ভূলইন (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
188,17,বেলঘর (উত্তর),0.0,0.0,0.0,0.0,0.0,0.0
189,17,বেলঘর (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
190,17,পেরুল (উত্তর),0.0,0.0,0.0,0.0,1.0,0.0
191,17,পেরুল (দক্ষিন),0.0,0.0,0.0,0.0,0.0,0.0
192,18,মহামায়া,0.0,0.0,0.0,0.0,0.0,0.0
193,18,পাঠাননগর,0.0,0.0,0.0,0.0,2.0,0.0
194,18,শুভপুর,0.0,0.0,0.0,0.0,1.0,0.0
195,18,রাধানগর,0.0,0.0,0.0,1.0,14.0,0.0
196,18,ঘোপাল,0.0,0.0,0.0,0.0,6.0,0.0
197,19,শর্শদি,0.0,0.0,0.0,0.0,0.0,0.0
198,19,পাঁচগাছিয়া,0.0,0.0,0.0,0.0,2.0,0.0
199,19,ধর্মপুর,0.0,0.0,0.0,2.0,3.0,0.0
200,19,কাজিরবাগ,0.0,0.0,0.0,0.0,2.0,0.0
201,19,কালিদহ,0.0,0.0,0.0,0.0,0.0,0.0
202,19,বালিগাঁও,0.0,0.0,0.0,0.0,3.0,0.0
203,19,ধলিয়া,0.0,0.0,0.0,0.0,2.0,0.0
204,19,লেমুয়া,0.0,0.0,0.0,0.0,3.0,0.0
205,19,ছনুয়া,0.0,0.0,0.0,1.0,0.0,0.0
206,19,মোটবী,0.0,0.0,0.0,0.0,0.0,0.0
207,19,ফাজিলপুর,0.0,0.0,0.0,0.0,0.0,0.0
208,19,ফরহাদনগর,0.0,0.0,0.0,0.0,0.0,0.0
209,20,চরমজলিশপুর,0.0,0.0,0.0,0.0,0.0,0.0
210,20,বগাদানা,0.0,0.0,0.0,0.0,0.0,0.0
211,20,মতিগঞ্জ,0.0,0.0,0.0,0.0,0.0,0.0
212,20,মঙ্গলকান্দি,0.0,0.0,0.0,0.0,0.0,0.0
213,20,চরদরবেশ,0.0,0.0,0.0,0.0,0.0,0.0
214,20,চরচান্দিয়া,0.0,0.0,0.0,0.0,0.0,0.0
215,20,সোনাগাজী,0.0,0.0,0.0,1.0,15.0,0.0
216,20,আমিরাবাদ,0.0,0.0,0.0,2.0,12.0,0.0
