,Unnamed: 0,id,bang,2015,2016,2017,2018,2019,2020
276,276,সরাইল,শাহজাদাপুর,0.0,0.0,0.0,0.0,0.0,0.0
277,277,সরাইল,শাহবাজপুর,0.0,0.0,0.0,1.0,0.0,0.0
278,278,আশুগঞ্জ,আশুগঞ্জ সদর,0.0,0.0,0.0,1.0,6.0,0.0
279,279,আশুগঞ্জ,চরচারতলা,0.0,0.0,0.0,0.0,0.0,0.0
280,280,আশুগঞ্জ,দুর্গাপুর,0.0,0.0,1.0,13.0,63.0,0.0
281,281,আশুগঞ্জ,আড়াইসিধা,0.0,0.0,0.0,0.0,0.0,0.0
282,282,আশুগঞ্জ,তালশহর(পঃ),0.0,0.0,0.0,0.0,0.0,0.0
283,283,আশুগঞ্জ,শরীফপুর,0.0,0.0,0.0,0.0,15.0,0.0
284,284,আশুগঞ্জ,লালপুর,0.0,0.0,0.0,1.0,6.0,0.0
285,285,আশুগঞ্জ,তারুয়া,0.0,0.0,0.0,0.0,3.0,0.0
286,286,আখাউড়া,মনিয়ন্দ,0.0,0.0,0.0,0.0,0.0,0.0
287,287,আখাউড়া,ধরখার,0.0,0.0,0.0,0.0,0.0,0.0
288,288,আখাউড়া,মোগড়া,0.0,0.0,0.0,0.0,0.0,0.0
289,289,আখাউড়া,আখাউড়া (উঃ),0.0,0.0,0.0,0.0,0.0,0.0
290,290,আখাউড়া,আখাউড়া (দঃ),0.0,0.0,0.0,0.0,0.0,0.0
