serial,id,division,district,upazilaBangla,2019,2020
103,104,রাজশাহী,সিরাজগঞ্জ,বেলকুচি,10.0,0.0
104,105,রাজশাহী,সিরাজগঞ্জ,চৌহালি,1.0,0.0
105,106,রাজশাহী,সিরাজগঞ্জ,কামারখন্দ,59.0,0.0
106,107,রাজশাহী,সিরাজগঞ্জ,কাজীপুর,12.0,0.0
107,108,রাজশাহী,সিরাজগঞ্জ,রায়গঞ্জ,14.0,0.0
108,109,রাজশাহী,সিরাজগঞ্জ,শাহজাদপুর,30.0,0.0
109,110,রাজশাহী,সিরাজগঞ্জ,সিরাজগঞ্জ সদর,110.0,0.0
110,111,রাজশাহী,সিরাজগঞ্জ,তাড়াশ,8.0,0.0
111,112,রাজশাহী,সিরাজগঞ্জ,উল্লাপাড়া,14.0,0.0
112,113,রাজশাহী,পাবনা,সুজানগর,14.0,0.0
113,114,রাজশাহী,পাবনা,ঈশ্বরদী,34.0,0.0
114,115,রাজশাহী,পাবনা,ভাঙ্গুড়া,26.0,0.0
115,116,রাজশাহী,পাবনা,পাবনা সদর,104.0,0.0
116,117,রাজশাহী,পাবনা,বেড়া,97.0,0.0
117,118,রাজশাহী,পাবনা,আটঘরিয়া,8.0,0.0
118,119,রাজশাহী,পাবনা,চাটমোহর,30.0,0.0
119,120,রাজশাহী,পাবনা,সাঁথিয়া,50.0,0.0
120,121,রাজশাহী,পাবনা,ফরিদপুর,971.0,1.0
121,122,রাজশাহী,বগুড়া,কাহালু,16.0,0.0
122,123,রাজশাহী,বগুড়া,বগুড়া সদর,83.0,0.0
123,124,রাজশাহী,বগুড়া,সারিয়াকান্দি,8.0,0.0
124,125,রাজশাহী,বগুড়া,শাজাহানপুর,19.0,2.0
125,126,রাজশাহী,বগুড়া,দুপচাচিঁয়া,0.0,0.0
126,127,রাজশাহী,বগুড়া,আদমদিঘি,4.0,0.0
127,128,রাজশাহী,বগুড়া,নন্দিগ্রাম,12.0,1.0
128,129,রাজশাহী,বগুড়া,সোনাতলা,18.0,0.0
129,130,রাজশাহী,বগুড়া,ধুনট,19.0,0.0
130,131,রাজশাহী,বগুড়া,গাবতলী,259.0,0.0
131,132,রাজশাহী,বগুড়া,শেরপুর,179.0,1.0
132,133,রাজশাহী,বগুড়া,শিবগঞ্জ,27.0,0.0
133,134,রাজশাহী,রাজশাহী,পবা,35.0,1.0
134,135,রাজশাহী,রাজশাহী,দুর্গাপুর,63.0,0.0
135,136,রাজশাহী,রাজশাহী,মোহনপুর,8.0,0.0
136,137,রাজশাহী,রাজশাহী,চারঘাট,10.0,0.0
137,138,রাজশাহী,রাজশাহী,পুঠিয়া,37.0,0.0
138,139,রাজশাহী,রাজশাহী,বাঘা,27.0,0.0
139,140,রাজশাহী,রাজশাহী,গোদাগাড়ী,10.0,0.0
140,141,রাজশাহী,রাজশাহী,তানোর,7.0,0.0
141,142,রাজশাহী,রাজশাহী,বাগমারা,15.0,0.0
142,143,রাজশাহী,নাটোর,নাটোর সদর,45.0,0.0
143,144,রাজশাহী,নাটোর,সিংড়া,8.0,0.0
144,145,রাজশাহী,নাটোর,বড়াইগ্রাম,32.0,0.0
145,146,রাজশাহী,নাটোর,বাগাতিপাড়া,3.0,0.0
146,147,রাজশাহী,নাটোর,লালপুর,6.0,0.0
147,148,রাজশাহী,নাটোর,গুরুদাসপুর,14.0,2.0
148,149,রাজশাহী,নাটোর,নলডাঙ্গা,2.0,0.0
149,150,রাজশাহী,জয়পুরহাট,আক্কেলপুর,7.0,0.0
150,151,রাজশাহী,জয়পুরহাট,কালাই,2.0,0.0
151,152,রাজশাহী,জয়পুরহাট,ক্ষেতলাল,2.0,0.0
152,153,রাজশাহী,জয়পুরহাট,পাঁচবিবি,1.0,0.0
153,154,রাজশাহী,জয়পুরহাট,জয়পুরহাট সদর,14.0,0.0
154,155,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,69.0,0.0
155,156,রাজশাহী,চাঁপাইনবাবগঞ্জ,গোমস্তাপুর,1.0,0.0
156,157,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,5.0,0.0
157,158,রাজশাহী,চাঁপাইনবাবগঞ্জ,ভোলাহাট,1.0,0.0
158,159,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ,27.0,0.0
159,160,রাজশাহী,নওগাঁ,মহাদেবপুর,8.0,0.0
160,161,রাজশাহী,নওগাঁ,বদলগাছী,17.0,0.0
161,162,রাজশাহী,নওগাঁ,পত্নিতলা,0.0,0.0
162,163,রাজশাহী,নওগাঁ,ধামইরহাট,4.0,0.0
163,164,রাজশাহী,নওগাঁ,নিয়ামতপুর,6.0,0.0
164,165,রাজশাহী,নওগাঁ,মান্দা,3.0,0.0
165,166,রাজশাহী,নওগাঁ,আত্রাই,15.0,0.0
166,167,রাজশাহী,নওগাঁ,রাণীনগর,4.0,0.0
167,168,রাজশাহী,নওগাঁ,নওগাঁ সদর,54.0,0.0
168,169,রাজশাহী,নওগাঁ,পোরশা,11.0,0.0
169,170,রাজশাহী,নওগাঁ,সাপাহার,13.0,0.0
170,171,খুলনা,যশোর,মণিরামপুর,89.0,0.0
171,172,খুলনা,যশোর,অভয়নগর,56.0,0.0
172,173,খুলনা,যশোর,বাঘারপাড়া,69.0,0.0
173,174,খুলনা,যশোর,চৌগাছা,130.0,0.0
174,175,খুলনা,যশোর,ঝিকরগাছা,44.0,0.0
